,functions
651,GO:0003006
652,GO:0009653
653,GO:0048646
654,GO:0032502
655,GO:0050890
656,GO:0007600
657,GO:0050877
658,GO:0003012
659,GO:0003013
660,GO:0003008
661,GO:0032501
662,GO:0044703
663,GO:0009615
664,GO:0050830
665,GO:0050829
666,GO:0042742
667,GO:0009617
668,GO:0050832
669,GO:0098542
670,GO:0009620
671,GO:0051707
672,GO:0016032
673,GO:0044403
674,GO:0051701
675,GO:0044419
676,GO:0044764
677,GO:0009405
678,GO:0051704
679,GO:0071554
680,GO:0034599
681,GO:0006974
682,GO:0034976
683,GO:0033554
684,GO:0071241
685,GO:0071417
686,GO:0071396
687,GO:0032870
688,GO:0071363
689,GO:0071345
690,GO:0071407
691,GO:0071310
692,GO:0071229
693,GO:1901701
694,GO:1901699
695,GO:0070887
696,GO:0071478
697,GO:0071214
698,GO:0051716
699,GO:0006457
700,GO:0006914
701,GO:0072522
702,GO:0072521
703,GO:0072524
704,GO:0006260
705,GO:0006310
706,GO:0006259
707,GO:0000956
708,GO:0006402
709,GO:0000398
710,GO:0006397
711,GO:0016071
712,GO:0006366
713,GO:0006351
714,GO:0097659
715,GO:0032774
716,GO:0009451
717,GO:0008033
718,GO:0006364
719,GO:0034470
720,GO:0016072
721,GO:0006399
722,GO:0034660
723,GO:0006401
724,GO:0000377
725,GO:0000375
726,GO:0008380
727,GO:0006396
728,GO:0016070
729,GO:0090305
730,GO:0090304
731,GO:0034654
732,GO:0034655
733,GO:0006139
734,GO:0006576
735,GO:0044106
736,GO:0006412
737,GO:0043043
738,GO:0043604
739,GO:0044271
740,GO:0044270
741,GO:0006518
742,GO:0043603
743,GO:0034641
744,GO:0006733
745,GO:0009108
746,GO:0006732
747,GO:0051188
748,GO:0051186
749,GO:0044264
750,GO:0044262
751,GO:0043543
752,GO:0016567
753,GO:0032446
754,GO:0070647
755,GO:0018205
756,GO:0018193
757,GO:0046777
758,GO:0006468
759,GO:0006464
760,GO:0044267
761,GO:0043161
762,GO:0006511
763,GO:0019941
764,GO:0043632
765,GO:0044265
766,GO:0044036
767,GO:0043414
768,GO:0034645
769,GO:0044260
770,GO:0044272
771,GO:0006790
772,GO:0006575
773,GO:0019439
774,GO:0019438
775,GO:0006725
776,GO:0006091
777,GO:0018130
778,GO:0046700
779,GO:0046483
780,GO:0044248
781,GO:0044249
782,GO:0016311
783,GO:0019693
784,GO:0016310
785,GO:0006796
786,GO:0090407
787,GO:0019637
788,GO:0006793
789,GO:0006413
790,GO:0044237
791,GO:0009987
792,GO:0048609
793,GO:0022414
794,GO:0016052
795,GO:0005976
796,GO:0005975
797,GO:0010498
798,GO:0051603
799,GO:0016485
800,GO:0006508
801,GO:0036211
802,GO:0030163
803,GO:0051604
804,GO:0019538
805,GO:0044238
806,GO:1901361
807,GO:1901362
808,GO:1901360
809,GO:0009057
810,GO:1901565
811,GO:1901136
812,GO:1901575
813,GO:0009059
814,GO:1901566
815,GO:1901137
816,GO:1901617
817,GO:1901576
818,GO:0009308
819,GO:0006022
820,GO:1901564
821,GO:1901135
822,GO:0043412
823,GO:0043170
824,GO:1901615
825,GO:0071704
826,GO:0009058
827,GO:0097164
828,GO:0006807
829,GO:0032259
830,GO:0009056
831,GO:0008152
832,GO:0006898
833,GO:0006897
834,GO:0016192
835,GO:0051168
836,GO:0006913
837,GO:0051169
838,GO:0006886
839,GO:0046907
840,GO:0015931
841,GO:0071705
842,GO:0015031
843,GO:0071702
844,GO:0006810
845,GO:0072594
846,GO:0090150
847,GO:0045184
848,GO:0051649
849,GO:0051656
850,GO:0051234
851,GO:0033365
852,GO:0034613
853,GO:0070727
854,GO:0051640
855,GO:0051641
856,GO:0008104
857,GO:0033036
858,GO:0051179
859,GO:0040007
860,GO:0006935
861,GO:0042330
862,GO:0040011
863,GO:0071495
864,GO:0031960
865,GO:0043627
866,GO:0048545
867,GO:0009737
868,GO:0043434
869,GO:0009725
870,GO:1901652
871,GO:0010243
872,GO:0009719
873,GO:0009411
874,GO:0009416
875,GO:0009314
876,GO:0009414
877,GO:0009415
878,GO:0009651
879,GO:0006970
880,GO:0009409
881,GO:0009408
882,GO:0009266
883,GO:0001666
884,GO:0036293
885,GO:0070482
886,GO:0009628
887,GO:0032496
888,GO:0002237
889,GO:0043207
890,GO:0009607
891,GO:0051606
892,GO:0007584
893,GO:0042594
894,GO:0031667
895,GO:0009991
896,GO:0071496
897,GO:0009605
898,GO:0009611
899,GO:0000302
900,GO:0006979
901,GO:0045087
902,GO:0006954
903,GO:0006952
904,GO:0006950
905,GO:0006959
906,GO:0006955
907,GO:1990267
908,GO:0009636
909,GO:0046686
910,GO:0010038
911,GO:0010035
912,GO:0070848
913,GO:0014070
914,GO:0034097
915,GO:0033993
916,GO:0009743
917,GO:0097305
918,GO:1901654
919,GO:0010033
920,GO:1901700
921,GO:1901698
922,GO:0042493
923,GO:0001101
924,GO:0042221
925,GO:0050896
926,GO:0002478
927,GO:0048002
928,GO:0019884
929,GO:0019882
930,GO:0002252
931,GO:0002376
